iso3,Year,inform_ph,gain,inform_ph_class,gain_class
AFG,1995,65,34.7823085160686,Very high,Very high
AFG,1996,65,34.7759129067231,Very high,Very high
AFG,1997,65,34.8550361264959,Very high,Very high
AFG,1998,65,35.0253079706509,Very high,Very high
AFG,1999,65,35.0191504933302,Very high,Very high
AFG,2000,65,35.0157243672438,Very high,Very high
AFG,2001,65,35.4193890709662,Very high,Very high
AFG,2002,65,35.8281798789678,Very high,Very high
AFG,2003,65,36.5915650167329,Very high,Very high
AFG,2004,65,36.2473847546218,Very high,Very high
AFG,2005,65,33.2860427247291,Very high,Very high
AFG,2006,65,31.4534261529217,Very high,Very high
AFG,2007,65,31.3526760228652,Very high,Very high
AFG,2008,65,31.0517326014097,Very high,Very high
AFG,2009,65,31.0451463354681,Very high,Very high
AFG,2010,65,31.8094285473884,Very high,Very high
AFG,2011,65,30.9861619751533,Very high,Very high
AFG,2012,65,32.0778147306183,Very high,Very high
AFG,2013,65,31.9227797042412,Very high,Very high
AFG,2014,65,32.8731258450475,Very high,Very high
AFG,2015,65,33.028578742176,Very high,Very high
AFG,2016,65,33.3146046339394,Very high,Very high
AFG,2017,64,32.5533733273307,High,Very high
AFG,2018,63,32.4335856772514,High,Very high
AFG,2019,63,32.9906447048386,High,Very high
AFG,2020,64,32.7223354067003,High,Very high
AFG,2021,63,33.006630763939,High,Very high
AFG,2022,63,33.207456275516,High,Very high
AFG,2023,64,33.207456275516,High,Very high
AFG,2024,64,33.207456275516,High,Very high
AFG,2025,64,33.207456275516,High,Very high
AGO,1995,45,34.7231529132438,Medium,Very high
AGO,1996,45,34.712670931379,Medium,Very high
AGO,1997,45,34.656006732645,Medium,Very high
AGO,1998,45,34.5986376796869,Medium,Very high
AGO,1999,45,34.6337752481664,Medium,Very high
AGO,2000,45,34.6648858260715,Medium,Very high
AGO,2001,45,34.9461881878328,Medium,Very high
AGO,2002,45,35.437653721295,Medium,Very high
AGO,2003,45,36.1014759718217,Medium,Very high
AGO,2004,45,36.1504519183259,Medium,Very high
AGO,2005,45,35.6147518089055,Medium,Very high
AGO,2006,45,34.3031055717587,Medium,Very high
AGO,2007,45,34.6737348348131,Medium,Very high
AGO,2008,45,34.9655429866258,Medium,Very high
