RecipientISO,Year,DonorType,DonorName,DonorISO,RecipientName,FlowName,Primary_CCA,Primary_CCM,Humanitarian,Covid_relevance,USD_Disbursement_Defl,gain,gain_class,crisis_class
,2017,DAC donor,Austria,AUT,"Africa, regional",ODA Grants,,,,,1.692011,,,
,2017,DAC donor,Austria,AUT,"Africa, regional",ODA Grants,,CCM,,,0.710279,,,
,2017,DAC donor,Austria,AUT,"Africa, regional",ODA Grants,CCA,CCM,,,0.167961,,,
,2017,DAC donor,Austria,AUT,"Africa, regional",Equity Investment,,,,,0.034724,,,
,2017,DAC donor,Austria,AUT,"Africa, regional",ODA Grants,CCA,,,,0.720196,,,
,2017,DAC donor,Austria,AUT,"America, regional",ODA Grants,,,,,0,,,
,2017,DAC donor,Austria,AUT,"Asia, regional",ODA Grants,,,,,1.73836,,,
,2017,DAC donor,Austria,AUT,"Asia, regional",ODA Grants,,,Humanitarian,,0.837065,,,
,2017,DAC donor,Austria,AUT,"Bilateral, unspecified",ODA Grants,,,,,228.495797,,,
,2017,DAC donor,Austria,AUT,"Bilateral, unspecified",ODA Grants,CCA,CCM,,,0.910623,,,
,2017,DAC donor,Austria,AUT,"Bilateral, unspecified",ODA Grants,,CCM,,,0.92033,,,
,2017,DAC donor,Austria,AUT,"Bilateral, unspecified",ODA Grants,,,Humanitarian,,0.720196,,,
,2017,DAC donor,Austria,AUT,"Bilateral, unspecified",ODA Grants,CCA,,,,0.036199,,,
,2017,DAC donor,Austria,AUT,"Bilateral, unspecified",Equity Investment,,,,,3.78229,,,
,2017,DAC donor,Austria,AUT,"Bilateral, unspecified",ODA Grants,CCA,,Humanitarian,,3.741791,,,
,2017,DAC donor,Austria,AUT,"Bilateral, unspecified",Equity Investment,,CCM,,,0.759756,,,
,2017,DAC donor,Austria,AUT,"Caribbean & Central America, regional",ODA Grants,CCA,,Humanitarian,,0.25807,,,
,2017,DAC donor,Austria,AUT,"Caribbean & Central America, regional",ODA Grants,,,,,0.086063,,,
,2017,DAC donor,Austria,AUT,"Caribbean & Central America, regional",ODA Grants,,CCM,,,0.540147,,,
,2017,DAC donor,Austria,AUT,"Central Asia, regional",ODA Grants,,,,,4.743365,,,
,2017,DAC donor,Austria,AUT,"Central Asia, regional",Equity Investment,,,,,0.131569,,,
,2017,DAC donor,Austria,AUT,"Central Asia, regional",ODA Grants,,,Humanitarian,,0.062966,,,
,2017,DAC donor,Austria,AUT,"Europe, regional",Equity Investment,,,,,1.107519,,,
,2017,DAC donor,Austria,AUT,"Europe, regional",ODA Grants,,CCM,,,2.631178,,,
,2017,DAC donor,Austria,AUT,"Europe, regional",ODA Grants,,,,,18.584174,,,
,2017,DAC donor,Austria,AUT,"Europe, regional",ODA Grants,CCA,,,,0.480131,,,
,2017,DAC donor,Austria,AUT,"Far East Asia, regional",Equity Investment,,,,,2.059235,,,
,2017,DAC donor,Austria,AUT,"Middle East, regional",ODA Grants,,,,,0.018245,,,
,2017,DAC donor,Austria,AUT,"North of Sahara, regional",ODA Grants,,,,,3.60098,,,
,2017,DAC donor,Austria,AUT,"Oceania, regional",ODA Grants,,CCM,,,0.012003,,,
,2017,DAC donor,Austria,AUT,"South & Central Asia, regional",ODA Grants,,,,,1.034153,,,
,2017,DAC donor,Austria,AUT,"South & Central Asia, regional",ODA Grants,,CCM,,,0.054015,,,
,2017,DAC donor,Austria,AUT,"South America, regional",ODA Grants,,,,,0.653546,,,
,2017,DAC donor,Austria,AUT,"South Asia, regional",ODA Grants,,CCM,,,0.13522,,,
,2017,DAC donor,Austria,AUT,"South of Sahara, regional",ODA Grants,,,,,3.653512,,,
,2017,DAC donor,Austria,AUT,"South of Sahara, regional",ODA Grants,CCA,,,,0.238166,,,
,2017,DAC donor,Austria,AUT,"South of Sahara, regional",ODA Grants,,CCM,,,2.476305,,,
,2017,DAC donor,Austria,AUT,"South of Sahara, regional",Equity Investment,,,,,1.82796,,,
,2017,DAC donor,Austria,AUT,"South of Sahara, regional",ODA Grants,,,Humanitarian,,2.400654,,,
,2017,DAC donor,Austria,AUT,"South of Sahara, regional",ODA Grants,CCA,CCM,,,0.025807,,,
,2017,DAC donor,Austria,AUT,"South of Sahara, regional",Equity Investment,,CCM,,,3.190957,,,
,2017,DAC donor,Austria,AUT,States Ex-Yugoslavia unspecified,ODA Grants,,,,,2.684118,,,
,2017,DAC donor,Belgium,BEL,"Africa, regional",ODA Grants,,,,,2.246216,,,
,2017,DAC donor,Belgium,BEL,"Africa, regional",ODA Grants,,,Humanitarian,,3.619039,,,
,2017,DAC donor,Belgium,BEL,"Bilateral, unspecified",ODA Grants,,,,,677.674022,,,
,2017,DAC donor,Belgium,BEL,"Bilateral, unspecified",ODA Grants,,,Humanitarian,,33.105426,,,
,2017,DAC donor,Belgium,BEL,"Bilateral, unspecified",ODA Grants,,CCM,,,12.063462,,,
,2017,DAC donor,Belgium,BEL,"Bilateral, unspecified",ODA Grants,CCA,,,,8.624856,,,
,2017,DAC donor,Belgium,BEL,"Bilateral, unspecified",ODA Grants,CCA,,Humanitarian,,0.213958,,,
,2017,DAC donor,Belgium,BEL,"Bilateral, unspecified",ODA Grants,CCA,CCM,,,0.205079,,,
,2017,DAC donor,Belgium,BEL,"Europe, regional",ODA Grants,,,,,0.042403,,,
,2017,DAC donor,Belgium,BEL,"Far East Asia, regional",ODA Grants,,,,,1.614163,,,
,2017,DAC donor,Belgium,BEL,"South America, regional",ODA Grants,,,,,0.483247,,,
,2017,DAC donor,Belgium,BEL,"South of Sahara, regional",ODA Grants,,,,,1.510907,,,
,2017,DAC donor,Belgium,BEL,"South of Sahara, regional",ODA Grants,,,Humanitarian,,0.094246,,,
,2017,DAC donor,Belgium,BEL,"South of Sahara, regional",ODA Grants,CCA,,,,1.7209,,,
,2017,DAC donor,Denmark,DNK,"Africa, regional",ODA Grants,,,,,30.834447,,,
,2017,DAC donor,Denmark,DNK,"Africa, regional",Private Development Finance,,,,,5.396366,,,
,2017,DAC donor,Denmark,DNK,"America, regional",Private Development Finance,,,,,1.712789,,,
